id,rule_name,package_name,session_type,price,sessions,sessions_per_pack,unit_price,coach_percentage,bgm_percentage,management_percentage,mfc_percentage,pricing_type,per_week,fixed_rate,match_offering_patterns,allow_late_payment_window_days,is_fixed_rate,allow_discounts,notes,created_at,updated_at,attendance_alias,payment_memo_alias
62,1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),group,37.38,1,1,37.38,80,15,0,5,,0,0,,,,TRUE,New 1 to 1 Pricing,2025-09-11T19:27:46.232Z,2025-09-11T19:27:46.232Z,1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG),1 to 1 Private Combat Sessions: SINGLE SESSION (PAYG)
63,LevelOne - HALF SUMMER: 3 x per week,LevelOne - HALF SUMMER: 3 x per week,group,220,48,48,4.58,43.5,30,8.5,18,,0,0,,,,,,2025-09-11T19:38:42.895Z,2025-09-11T19:38:42.895Z,LevelOne - HALF SUMMER: 3 x per week,LevelOne - HALF SUMMER: 3 x per week
64,StrikeZone - PAY AS YOU GO: Day Pass x 16,StrikeZone - PAY AS YOU GO: Day Pass x 16,group,336,48,48,7,43.5,30,8.5,18,,0,0,,,,,,2025-09-11T19:40:51.874Z,2025-09-11T19:40:51.874Z,StrikeZone - PAY AS YOU GO: Day Pass x 16,StrikeZone - PAY AS YOU GO: Day Pass x 16
65,LevelOne - PAY AS YOU GO: Day Pass x 8,LevelOne - PAY AS YOU GO: Day Pass x 8,group,152,32,32,4.75,43.5,30,8.5,18,,0,0,,,,,,2025-09-11T19:43:43.195Z,2025-09-11T19:43:43.195Z,LevelOne - PAY AS YOU GO: Day Pass x 8,LevelOne - PAY AS YOU GO: Day Pass x 8
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
